# freq_hz   signal_dbm 
#----------+------------
 88000000       -20.8
 88002724      -22.31
 88005448      -21.37
 88008172      -21.65
 88010896      -22.33
 88013620      -20.93
 88016345      -22.36
 88019069      -21.14
 88021793      -21.47
 88024517      -21.85
 88027241      -21.33
 88029965      -22.01
 88032689      -22.43
 88035413      -21.69
 88038137      -22.31
 88040861      -21.85
 88043585      -20.69
 88046310      -22.76
 88049034      -21.96
 88051758      -22.39
 88054482      -23.17
 88057206      -22.18
 88059930      -22.01
 88062654       -22.2
 88065378      -22.69
 88068102      -22.18
 88070826      -21.61
 88073550      -23.12
 88076275      -20.86
 88078999      -23.16
 88081723       -23.1
 88084447      -22.06
 88087171      -21.92
 88089895      -22.26
 88092619      -21.71
 88095343      -22.76
 88098067      -21.42
 88100791      -21.28
 88103515      -21.76
 88106240      -22.13
 88108964      -21.08
 88111688      -21.83
 88114412      -22.33
 88117136      -22.63
 88119860      -22.23
 88122584      -22.32
 88125308      -21.85
 88128032      -22.14
 88130756      -22.59
 88133480      -22.12
 88136205      -21.92
 88138929      -22.57
 88141653      -22.51
 88144377      -22.43
 88147101      -21.72
 88149825      -22.39
 88152549      -21.59
 88155273      -21.47
 88157997      -22.61
 88160721       -22.1
 88163445      -21.97
 88166169      -22.03
 88168894      -21.43
 88171618      -21.25
 88174342      -20.43
 88177066      -19.35
 88179790      -21.66
 88182514      -20.87
 88185238      -20.81
 88187962      -21.36
 88190686      -20.58
 88193410      -19.08
 88196134       -19.9
 88198859      -20.49
 88201583      -20.18
 88204307       -20.4
 88207031      -19.48
 88209755      -18.66
 88212479      -19.25
 88215203      -19.84
 88217927      -19.78
 88220651      -19.88
 88223375      -19.43
 88226099      -19.62
 88228824      -20.15
 88231548      -19.49
 88234272      -19.91
 88236996      -19.91
 88239720      -20.32
 88242444       -19.2
 88245168       -19.8
 88247892      -20.33
 88250616      -19.39
 88253340      -20.27
 88256064      -20.33
 88258789      -19.44
 88261513         -19
 88264237      -19.19
 88266961      -19.83
 88269685      -19.13
 88272409      -17.76
 88275133       -18.9
 88277857      -19.17
 88280581      -18.42
 88283305      -18.24
 88286029      -19.11
 88288754      -18.63
 88291478      -17.69
 88294202      -18.17
 88296926       -18.2
 88299650      -18.12
 88302374      -16.49
 88305098      -17.41
 88307822      -14.58
 88310546      -15.97
 88313270      -15.58
 88315994      -16.13
 88318719      -16.06
 88321443      -15.94
 88324167      -16.67
 88326891      -15.37
 88329615      -14.96
 88332339      -15.85
 88335063      -15.56
 88337787      -14.34
 88340511      -14.26
 88343235      -15.42
 88345959      -15.41
 88348684      -15.97
 88351408      -15.38
 88354132      -17.24
 88356856      -15.75
 88359580       -14.9
 88362304      -15.49
 88365028      -14.83
 88367752      -14.75
 88370476       -15.4
 88373200      -13.89
 88375924      -15.48
 88378649      -15.22
 88381373      -14.83
 88384097      -16.51
 88386821      -15.39
 88389545      -15.13
 88392269      -16.13
 88394993      -16.08
 88397717      -15.78
 88400441      -15.55
 88403165      -15.63
 88405889       -15.2
 88408614      -14.74
 88411338      -13.96
 88414062      -15.04
 88416786      -14.77
 88419510       -14.8
 88422234      -14.42
 88424958      -14.55
 88427682      -14.04
 88430406       -14.2
 88433130      -14.49
 88435854       -13.7
 88438578      -13.11
 88441303      -13.58
 88444027      -13.34
 88446751      -12.87
 88449475      -12.85
 88452199      -12.64
 88454923      -12.03
 88457647       -8.33
 88460371       -8.75
 88463095       -9.35
 88465819       -8.45
 88468543       -6.23
 88471268       -4.29
 88473992       -3.31
 88476716       -1.29
 88479440        3.48
 88482164        2.42
 88484888        2.83
 88487612        2.99
 88490336        3.74
 88493060        4.14
 88495784        7.54
 88498508       10.01
 88501233        7.02
 88503957        5.41
 88506681        5.16
 88509405        5.14
 88512129        4.36
 88514853         4.4
 88517577        4.42
 88520301        4.03
 88523025         2.9
 88525749        2.21
 88528473        0.63
 88531198        0.16
 88533922       -0.22
 88536646       -2.63
 88539370       -5.35
 88542094       -6.16
 88544818       -8.15
 88547542       -8.54
 88550266       -9.21
 88552990      -11.41
 88555714      -11.78
 88558438      -13.24
 88561163      -13.83
 88563887      -14.24
 88566611      -14.28
 88569335      -14.76
 88572059      -13.48
 88574783      -14.61
 88577507      -15.01
 88580231      -14.92
 88582955      -15.31
 88585679      -16.14
 88588403      -15.03
 88591128      -15.34
